,time,INw,OTw,GMv,GMh,AWR,CWR,CEv,PEv,PEw,PEh,RCv,RCh,dxy,SP,Mv0,MvT,aveMv,Mh0,MhT,aveMh,Mw0,MwT,SE,ME,MC,INv_W,OTv_W,INv_E,OTv_E,INv_N,OTv_N,INv_S,OTv_S,INv,OTv,INh_W,OTh_W,INh_E,OTh_E,INh_N,OTh_N,INh_S,OTh_S,INh,OTh,datasource,peroid_unit
0,2000-01-01T00:00:00,132511970143171.53,133742703580640.86,131585708391570.45,8810770396411.857,137502979558815.23,5917271167244.783,1.947,2.199,2.061,32.84,16.296,16.074,487253809198.0115,2893499229167.0737,2341061115031.953,947268990490.0269,1521040491827.514,151674886013.1218,27657335320.326363,62513925539.04479,2492736001045.0747,974926325810.3533,2606422991401.682,222997546262.31982,2562352106101.7095,72069614989688.7,2213021786591.73,1138328224185.1401,74628919366647.31,35423585201477.18,9749053889191.281,17783698323523.47,41485092252548.4,126415226738874.5,128076087294978.72,3437122121101.6406,67025253533.196655,43792545906.20157,3678296763134.9307,1358427787685.937,747694423061.7418,1257400949603.2458,1173599845932.267,6096743404297.025,5666616285662.137,NCEP,M
1,2000-02-01T00:00:00,96219728051394.64,95078976671638.45,94295974990035.8,4176406261870.557,97645891733754.84,3349916743719.0415,0.962,0.876,0.839,19.789,50.362,31.268,487253809198.0115,826489518151.5157,947268990490.0269,1408085567585.1252,1435302712008.652,27657335320.326363,16909507118.03514,37129765667.75765,974926325810.3533,1424995074703.1604,135806887288.13977,234391529886.2871,907528457526.9379,44479355398109.19,1740435342153.7878,808835288246.0479,51628433399489.59,35106528046610.28,5829650985477.353,12583788849405.828,32781841237802.984,92978507582371.34,91980360964923.73,1613041790964.185,28955448936.54077,20725396570.09588,2121538289870.3984,860665053560.6732,350377567801.23535,746788227928.3386,597744400106.544,3241220469023.293,3098615706714.7188,NCEP,M
2,2000-03-01T00:00:00,147836917404351.66,140701221097882.27,142216653080928.75,4667284490831.662,145822231445883.72,3605578364954.9717,0.88,0.747,0.7230000000000001,22.747999999999998,50.587,18.684,487253809198.0115,1061706125876.6906,1408085567585.1252,3487128113930.012,1732548364810.367,16909507118.03514,115278811511.33221,26661821976.763435,1424995074703.1604,3602406925441.344,-3896578329854.5176,267583326001.9524,1251020096558.1885,59184109552075.26,2706349505772.28,2168008906182.632,73730051537213.16,58555513966669.76,12601322307398.27,24529930092268.582,48440781520056.87,144437562517196.22,137478504870440.58,1477155332497.5664,21835488569.967136,37156407475.86291,2303656996887.279,958277027478.8406,439482463349.161,926766119703.1688,457741278635.2806,3399354887155.4385,3222716227441.688,NCEP,M
3,2000-04-01T00:00:00,200472706856957.84,196956793469599.25,195552316493056.06,7269312138107.599,200637414063950.47,5085097570894.413,0.9259999999999999,1.117,1.077,30.047,31.437,14.259,487253809198.0115,2184214567213.1855,3487128113930.012,1683026214647.4663,2288836505264.4873,115278811511.33221,2575867496.776411,43255407358.50438,3602406925441.344,1685602082144.2427,-3248503663442.494,184771834895.65427,1810246677311.331,86036644669514.06,3418843800877.8906,3140563175969.176,97825156377016.08,83813745687101.03,15634440485002.79,22137966675088.645,75180602938200.53,195128920207672.9,192059043601097.28,2762016756820.625,38817771390.08231,98851636151.8218,3125523769595.741,1492128999090.4817,705295352677.9904,990789257222.0068,1028112974838.1682,5343786649284.936,4897749868501.982,NCEP,M
4,2000-05-01T00:00:00,293172101433570.9,285177608679917.1,290501912023660.5,13784190586445.848,297419073653538.2,6917161629877.677,2.399,2.3640000000000003,2.257,49.818,17.593,6.38,487253809198.0115,6867028956568.171,1683026214647.4663,4842539632424.378,3897226064390.081,2575867496.776411,56591037392.16291,58891227460.668495,1685602082144.2427,4899130669816.541,2086064790586.7246,372502476538.0565,6969831827266.432,109918922207986.97,9146293906294.197,10055913271215.223,111675598838483.08,118517434496918.55,44893900857853.04,47868048565767.51,112973746961339.38,286360318541888.25,278689540563969.7,3618177670668.8594,31464570659.392426,57891098341.19807,3612165407400.6826,2270861307392.79,1267568386568.9175,864852815279.7911,1576869751318.4666,6811782891682.639,6488068115947.459,NCEP,M
5,2000-06-01T00:00:00,386901898942576.1,384323642691503.94,397327667331299.1,26442471538812.46,406367520425689.4,9039853094390.271,4.041,4.38,4.107,65.813,13.903,6.519,487253809198.0115,17402618444422.19,4842539632424.378,5925870475042.48,8064727892888.565,56591037392.16291,62872734843.26703,157563636664.14545,4899130669816.541,5988743209885.747,15913974733419.227,0.0,16055134524299.688,109002973803363.9,65037861701859.79,54650924399955.664,94757399527111.45,79323057734079.1,113704507486921.81,133594197028056.88,101846893616063.88,376571152965455.5,375346662331956.94,4955764868587.648,699311000887.3306,992073789859.4961,4071586021090.383,1051678714341.0377,2320895251955.1553,3331228604332.4316,1885188085614.14,10330745977120.613,8976980359547.008,NCEP,M
6,2000-07-01T00:00:00,556623147830981.5,547472720631499.8,557522071449490.56,21578936300785.562,565967610575069.6,8445539125579.076,1.934,2.3560000000000003,2.268,60.862,24.952,6.773,487253809198.0115,13133397175206.486,5925870475042.48,7134927772024.865,10571244840029.342,62872734843.26703,182604487268.87885,119554901368.98569,5988743209885.747,7317532259293.744,5311759025132.824,392288000531.8656,10785069683744.18,129483189036869.67,79347307802284.08,80509272986316.12,143111754119817.38,160476529415088.0,136726874466199.25,175423162510509.56,180416137605420.78,545892153948783.4,539602073993721.5,4456503457355.036,190791305196.29575,896145025185.276,3696707496487.72,2980725589108.029,1960480101043.849,2397619810549.7764,2022667735050.4695,10730993882198.117,7870646637778.334,NCEP,M
7,2000-08-01T00:00:00,453763372070341.3,458412450309629.2,481297197600409.3,32915437550087.17,490550097928830.94,9252900328421.61,4.8759999999999994,4.916,4.601999999999999,71.88900000000001,11.678,3.853,487253809198.0115,23662537221665.562,7134927772024.865,8660875899019.752,8913930664946.297,182604487268.87885,9457720734.179916,122549831076.05568,7317532259293.744,8670333619753.932,29664416821413.6,0.0,23467313999447.777,147208033988319.53,32562076484568.555,23616496144580.977,187292749905968.9,103889121500353.89,122171563152961.66,169784201373716.44,107142618158442.58,444497853006970.8,449169007701941.75,4144830325362.052,95285068725.82323,183385418829.59964,5203416236333.811,1295852769989.5796,2666704917685.6733,3641450549189.286,1278036384942.1218,9265519063370.518,9243442607687.43,NCEP,M
8,2000-09-01T00:00:00,316869667917862.7,318577546246375.0,326066943053656.25,18651602151484.89,334403857275623.7,8336914221967.473,3.0380000000000003,3.163,2.992,55.30199999999999,18.287,7.536,487253809198.0115,10314687929517.418,8660875899019.752,5786231466296.138,6287589591644.628,9457720734.179916,97715804484.21262,107954994174.48859,8670333619753.932,5883947270780.351,9236179909056.145,37172149247.00011,9905191609221.385,101582649705147.78,31202726761385.758,18243487832354.465,114799951938594.97,61560160843236.42,91720468676421.77,126746416715594.67,72652372601736.27,308132715096333.4,310375519978138.75,4387964734114.439,162972949077.01044,113877935240.28554,4734680001927.602,596910800698.173,2269063429722.538,3638199351476.4277,1035309887509.1099,8736952821529.325,8202026268236.261,NCEP,M
9,2000-10-01T00:00:00,304498111488657.4,299460494364685.0,297752818412062.2,15311417978846.627,307971518365387.25,10218699953325.068,1.644,1.71,1.627,33.261,24.088,12.377,487253809198.0115,5092718025521.559,5786231466296.138,3275132635972.459,3957285801916.542,97715804484.21262,9123599441.67718,84722885757.82195,5883947270780.351,3284256235414.136,-2544590133817.039,331429656122.55725,4895338109165.572,149699082042490.47,6336540782097.0205,4157548008964.249,172806693290920.06,50193460771920.91,47455920989376.07,90129656600084.94,62983192604530.99,294179747423460.56,289582347666924.2,6151923615184.572,50984819797.31915,61712904196.54941,6869410695920.055,778309572637.0468,1856943490847.1267,3326417973178.673,1100807691196.3357,10318364065196.842,9878146697760.836,NCEP,M
10,2000-11-01T00:00:00,197066458801723.1,198271823449701.7,196021178432858.84,7729701417893.268,202496854509851.75,6475676076992.887,0.6459999999999999,0.64,0.615,16.223000000000003,53.309,29.667,487253809198.0115,1254025340900.381,3275132635972.459,2304548735802.933,2228378860274.78,9123599441.67718,62300145154.9599,51670692906.23728,3284256235414.136,2366848880957.893,1541982634422.7322,592368027491.3372,1265814151700.814,116036760325550.53,1271416699088.1626,729711213160.4827,125828872695818.97,45001381824308.7,17052604699547.63,28843841771952.62,48297921450900.34,190611695134972.3,192450815545355.1,3977038194027.8354,3652953264.186796,9513619643.982616,4307893945670.21,1247656669104.9783,755492238185.6357,1220555183973.981,753968767226.5586,6454763666750.777,5821007904346.591,NCEP,M
11,2000-12-01T00:00:00,192126770470432.34,191481482854477.6,188590014427880.16,6388698588624.993,194615930976899.4,6025916549019.258,0.27799999999999997,0.192,0.186,5.678,166.701,94.562,487253809198.0115,362782039605.73584,2304548735802.933,1273930427981.9648,1950843835770.7478,62300145154.9599,25135054471.56573,46109596956.65522,2366848880957.893,1299065482453.5305,-1350288974853.3555,1310681588803.0554,524701051165.1995,111253712821259.22,694278573617.6682,271512223456.90106,107409017008160.6,63864684998888.86,8058868912568.17,10935163034522.498,70629218454386.55,186325073078127.5,186791382948732.97,3733389546465.1094,1862991121.806438,2116849739.466985,3142249498373.6523,1640013155787.3796,239300014962.95816,426177840312.87787,1306687401286.2192,5801697392304.834,4690099905744.636,NCEP,M
12,2001-01-01T00:00:00,150730628985433.84,151946502741866.34,150901009893313.03,9512007015705.885,158954315758973.8,8053305865660.801,2.218,0.967,0.909,15.334999999999999,32.066,26.418,487253809198.0115,1458701150045.0837,1273930427981.9648,1269537160916.6646,1508844529884.1838,25135054471.56573,1075733425.128703,51795113047.89628,1299065482453.5305,1270612894341.7932,2646122346883.1367,2390842870032.723,3346357224215.6914,85502618748737.69,1157040215234.5151,880946951304.9875,76473611585294.28,43257495222210.93,12035811830971.541,14949053326161.602,56618651876680.37,144590114248415.22,146285115508180.7,3687217872049.354,32411697074.67983,29697540928.828857,3201008433329.2363,1463277065905.1746,707687821606.4436,960322258135.271,1720279281675.2888,6140514737018.628,5661387233685.648,NCEP,M
13,2001-02-01T00:00:00,115306450496251.34,116878834446030.22,118217840024132.0,5595400840187.896,122592222208976.02,4374382184844.0205,2.136,1.0330000000000001,0.9860000000000001,21.822,34.754,14.916,487253809198.0115,1221018655343.876,1269537160916.6646,1682254724280.6538,1515565672625.3071,1075733425.128703,3756151506.1557727,27101403990.350754,1270612894341.7932,1686010875786.8096,3208800585036.6484,1501868284500.8513,2525508604189.276,60440367717710.59,1877579581606.2612,1338509105704.782,67635104123951.53,31429254649709.844,8643930001011.426,19029502520552.62,35853462989092.87,112237633993677.84,114010076695662.08,1700942827293.49,19398484137.640114,50679591090.15609,2151243554747.4783,437055235639.1798,284525412102.7034,880138848550.6667,413590299380.3129,3068816502573.492,2868757750368.135,NCEP,M
14,2001-03-01T00:00:00,152796795176709.84,154293613858517.38,155125589478995.34,4686145557434.52,159398039419557.5,4272449940562.1445,0.9809999999999999,0.267,0.259,8.828,114.551,35.341,487253809198.0115,413695616872.37506,1682254724280.6538,2057843379932.5967,1528690669266.8423,3756151506.1557727,0.0,19651299142.602173,1686010875786.8096,2057843379932.5967,2282346804373.311,1524704724231.9316,1521877455327.956,64806227578413.2,1701607215990.117,995765630220.7184,78328873607561.75,76681569408164.33,4970993800721.26,7152720609311.201,66544394019461.68,149636283226109.44,151545868643734.78,1101499571356.3352,11776590208.446196,14147840748.287886,1762509521504.846,1890928657775.2024,55043045987.14932,153935880720.58267,918416057082.1605,3160511950600.408,2747745214782.602,NCEP,M
15,2001-04-01T00:00:00,203027141702456.8,205079574935933.8,207761517021797.53,11125604167634.656,215049426129124.94,7287909107327.402,2.848,1.847,1.7530000000000001,34.494,20.877,10.153,487253809198.0115,3837695060307.2534,2057843379932.5967,2468014735079.5156,2670632633608.002,0.0,3563668650.0434966,54118326574.32986,2057843379932.5967,2471578403729.559,6303863349144.65,1581912000275.2104,5916360757622.911,83333443832324.44,9745427867059.146,6037923382581.855,100412558045373.48,49613471421779.86,34747696297619.527,58833059655758.91,54471459319042.945,197817898292445.06,199377141529095.1,2570974951051.0376,52597246293.24666,58214203447.80239,3591497536068.306,472564666474.16705,1257898136283.1018,2107489589038.7395,800440488194.0509,5209243410011.746,5702433406838.705,NCEP,M
16,2001-05-01T00:00:00,223191266511395.38,222189024733207.9,223690579070319.56,8864346939092.559,230343139617132.97,6652560546813.402,1.59,0.989,0.951,24.951,41.248,12.636,487253809198.0115,2211786392279.1562,2468014735079.5156,2638853702378.556,2942953983256.906,3563668650.0434966,24138216460.67043,37563401956.1243,2471578403729.559,2662991918839.2266,1400958101886.664,1934998822326.0405,3556124170074.4766,86318280011531.14,7387816524318.646,3410638611508.884,111196392501755.08,96324287289115.12,24516225146347.727,31833401498872.188,74395167025445.1,217886607411027.34,217495601197866.53,2878371217003.524,15973512581.597113,22960463543.775017,3151139818314.1367,1259345291717.0718,962420534036.0142,1143982128103.669,563889670409.6279,5304659100368.039,4693423535341.376,NCEP,M
17,2001-06-01T00:00:00,330488604738376.6,326041898052189.4,332490355610441.44,17069269772362.79,342296474595384.94,9806118984943.477,2.666,2.1839999999999997,2.078,42.551,25.32,9.868,487253809198.0115,7263150787419.312,2638853702378.556,5443699066222.661,6130046030961.897,24138216460.67043,43549399395.69225,99542842799.05426,2662991918839.2266,5487248465618.354,5640700691236.91,1904538087875.0718,8862789946476.377,104516732019427.25,25662942047696.28,19658226930586.625,133536867398742.55,122362658602773.6,49825792642186.03,75768645576163.39,109158264509117.58,322306263128950.9,318183866597742.4,3718996021269.9746,135721041780.42783,294422262535.88617,4421656921784.93,2376432191305.644,1557755290897.3635,1792491134314.2349,1742898199984.2852,8182341609425.74,7858031454447.006,NCEP,M
18,2001-07-01T00:00:00,484770204006153.06,479792206866516.9,494962291589238.6,24556834926657.64,506546298261332.2,11584006672093.584,3.154,2.621,2.497,52.827999999999996,19.781,5.807,487253809198.0115,12972828254564.057,5443699066222.661,8999818453090.45,8277945934857.929,43549399395.69225,17136913025.983673,101250005087.02261,5487248465618.354,9016955366116.434,11524537987487.781,2128038381596.1235,15609097675040.93,152566079754059.47,49325600089407.2,29714362979489.305,190731229881027.2,100633026741084.55,129207673901177.97,192952546679298.72,101088871589494.95,475866016153932.06,470353375461107.25,5355925809208.959,64954358175.56358,95627786025.34251,5640503572526.469,836263203503.6367,2337923920131.326,2616371053483.0825,1395449554576.2935,8904187852221.021,9438831405409.652,NCEP,M
19,2001-08-01T00:00:00,427769938828560.56,423021997123689.5,447167028003331.25,34084297300654.58,459107857939754.0,11940829936422.777,5.457,4.952,4.601,64.967,12.289,4.32,487253809198.0115,22143467364231.8,8999818453090.45,9604130044511.97,8777909224042.804,17136913025.983673,74669135787.43457,128573047824.7759,9016955366116.434,9678799180299.406,18057369597858.406,2005883630337.8242,24401177881112.582,101714236822398.6,49979070049791.41,43667922128627.305,124605497441995.66,111330026570769.14,128029302456931.2,161391770800249.53,110547850128988.4,418103956322044.56,413161720077706.7,4487694072223.233,192907189153.4006,361582926163.9635,4838123996825.574,1507973959464.7766,2806121380824.7793,3308731548664.039,2023124479179.041,9665982506516.014,9860277045982.795,NCEP,M
20,2001-09-01T00:00:00,420767502164796.0,426762372304200.5,442258610291582.9,34103013519057.344,456624685877695.1,14366075586112.234,4.962,4.463,4.143,57.874,11.439,5.453,487253809198.0115,19736937932945.11,9604130044511.97,5423863036563.198,7525954642715.127,74669135787.43457,67368585261.31049,149485996149.98547,9678799180299.406,5491231621824.509,21544240422055.605,2426258948139.469,21944823095349.66,130271810191438.6,40562056098620.086,24701358178690.6,153691805543310.53,59943362438434.25,130485634227585.12,193767450068312.28,90150428290154.2,408683980876875.75,414889924159669.94,5802551090253.3545,350133353827.0415,261273091837.06946,7309265770917.486,615893122656.1226,2574984138878.393,5403803983173.702,1638064880907.629,12083521287920.248,11872448144530.549,NCEP,M
21,2001-10-01T00:00:00,270939763908104.88,275734336386942.0,279177436194044.84,17943794518315.105,289362096141151.94,10184659947107.078,3.37,2.779,2.611,43.241,18.277,8.252,487253809198.0115,7759134571208.028,5423863036563.198,2519511382333.526,4574593448336.828,67368585261.31049,30393511461.119064,86060331823.21152,5491231621824.509,2549904893794.645,9612380238727.654,1670531658766.454,9407323284936.438,113488510227915.38,17642166404339.875,10017891603401.062,131401672530284.4,48517073055272.73,59987944196008.02,90447186373398.36,58218818396142.555,262470661259987.53,267250601526774.88,4135146576633.536,364992094323.4121,186706502675.20975,5106799176527.423,791342169368.5095,2249850949174.727,3355907399440.1006,762092640141.5621,8469102648117.356,8483734860167.125,NCEP,M
22,2001-11-01T00:00:00,167776269796952.78,172286403459631.56,171227925380776.78,8921992754144.918,178756841213490.1,7528915832713.328,1.6629999999999998,0.814,0.773,15.614,50.144,28.071,487253809198.0115,1393076921431.5894,2519511382333.526,1973967522425.3516,2328493658448.5938,30393511461.119064,210368234299.55313,54313319595.01802,2549904893794.645,2184335756724.9048,5537641467028.1455,1439395197152.4104,2846706779993.6987,87256444056979.48,1770182371858.4739,1594278988625.8816,85095711707706.34,57726934568180.95,7731001440972.473,15153719720476.398,71810355557820.42,161731377334262.7,166407251078357.72,3674598242818.635,41553777377.51434,25607080056.65843,3753556265544.6333,1845974358576.9475,174398205706.64255,498712781237.85986,1909644132645.0444,6044892462690.101,5879152381273.834,NCEP,M
23,2001-12-01T00:00:00,165041773896243.6,164539865910254.25,161228767344738.97,13263435182035.125,173095651510227.3,11866884165488.336,2.0140000000000002,0.8659999999999999,0.8,10.529,36.207,52.634,487253809198.0115,1396551016546.7893,1973967522425.3516,2143652331829.2363,1631141576863.6807,210368234299.55313,197298225037.09424,98799088789.88031,2184335756724.9048,2340950556866.3306,1051257838688.9976,2966891240180.6245,3247943794935.9873,86680214461043.4,1794092481732.7131,1448850540791.462,81632192720846.62,45569254106191.5,15446981437958.96,21538331635417.613,56963904577435.43,155236650743444.0,155837171217973.75,5899382982232.553,85758298609.54344,54881451772.38996,5114241498246.061,2034997567700.8877,1317280174594.8647,1815861151093.7551,2185414720830.0308,9805123152799.586,8702694692280.5,NCEP,M
24,2002-01-01T00:00:00,155640264264193.3,156075712460401.97,153582104165750.34,8581790949285.438,161744437728020.38,8162333562270.036,1.225,0.27299999999999996,0.259,4.888,138.81,113.746,487253809198.0115,419457387015.40234,2143652331829.2363,1289299032639.0574,1878222035081.1165,197298225037.09424,1963325367.388287,64128421970.310425,2340950556866.3306,1291262358006.4456,-194782620438.2256,2496487700027.7563,1880975214386.5847,74802882339285.89,1724646416724.4238,1115272469327.529,78069835843209.83,60745191538614.234,9558090612660.27,12473400407103.908,61059257046130.15,149136746754331.56,150411829918724.7,3659519033791.275,101698513967.47044,42289301705.0262,3492656219763.8022,1815150726181.0356,646267476250.7643,986558448184.4224,1423260331695.237,6503517509861.76,5663882541677.274,NCEP,M
25,2002-02-01T00:00:00,127062779329708.3,123336629148699.55,123581670870346.6,7131562169524.075,130137674663324.38,6556003792977.773,1.936,0.466,0.44,8.071,91.241,69.928,487253809198.0115,575558376546.3018,1289299032639.0574,2559496085181.9565,1875518018538.8416,1963325367.388287,118782909434.30592,59892672910.12284,1291262358006.4456,2678278994616.2627,-1763575166218.8608,1730226990975.148,2392539527399.6377,56866398448198.42,4671387563613.112,3077758016157.75,62051068760406.914,35187447761730.07,16817056680771.176,27194115786865.02,35090122252973.81,122325720012951.25,118629635257765.0,2755678181598.968,50807738365.55884,42733011549.23303,3245106849141.538,791116747188.6759,736862510039.7032,1147531376420.1724,674216793387.7506,4737059316757.049,4706993890934.551,NCEP,M
26,2002-03-01T00:00:00,178778397076716.5,174791138548598.06,174844779872633.56,11539669318055.44,183795362282882.5,8950582410248.934,2.5250000000000004,1.481,1.389,22.436,23.568,17.154,487253809198.0115,2589086907806.505,2559496085181.9565,2068462683117.617,1968351863590.3523,118782909434.30592,10889864328.416126,59695846324.38676,2678278994616.2627,2079352547446.033,-1997098049726.5547,2510653757411.6875,4414217411671.098,86382615287034.81,4193398767173.5586,2723440896593.4243,88936653992305.6,52142207399637.445,16770837476723.436,30523464496500.805,58461209541642.25,171771728079766.47,168362099777844.84,4087798216027.509,99092069679.26053,100002508992.43108,4069770887428.942,1214226761843.181,1020903435504.2797,1604641510086.9153,1239272378140.7432,7006668996950.036,6429038770753.225,NCEP,M
27,2002-04-01T00:00:00,310460345192510.75,300050589999432.06,305172570886284.94,23059543978602.992,319919097232058.25,14746526345773.285,3.476,2.724,2.533,36.05,12.2,8.824,487253809198.0115,8313017632829.708,2068462683117.617,6467015382968.295,3380607074487.635,10889864328.416126,287246414525.30176,101879920261.8983,2079352547446.033,6754261797493.597,2578171708876.533,2506509637596.0513,10607735778458.531,123927263357939.69,17584464930152.148,12579627878182.902,135123203853431.81,62550331378600.52,64952720969999.25,98962204241971.61,70437429971274.84,298019426856694.7,288097819724858.06,6246139590696.7705,105763722440.67593,140767914826.903,6757715696033.035,1706714967996.2104,3395973942226.4033,4347295862296.161,1693316913873.867,12440918335816.047,11952770274573.98,NCEP,M
28,2002-05-01T00:00:00,299792286898856.25,303288779406494.2,310946698219566.1,27224315025331.4,324842423401844.94,13895725182278.822,4.944,4.2860000000000005,3.941,48.958,12.142,8.189,487253809198.0115,13328589843052.576,6467015382968.295,4056427317851.2256,5220577614035.186,287246414525.30176,30010493073.565666,146704391307.71527,6754261797493.597,4086437810924.791,14157258629731.766,2094143083134.6082,15373062835681.256,80445817902794.03,37117441195259.94,24205574976326.56,101321664945013.47,81660765019447.25,77120856224161.75,101916123225163.58,75957245701598.47,288228281123731.44,291517208066033.6,4587848469635.632,533297713895.8916,584859421819.5486,5685201428556.6,1322335598564.6394,3889451116079.0864,5068962285105.023,1663621081929.0085,11564005775124.842,11771571340460.586,NCEP,M
