,time,INw,OTw,GMv,GMh,AWR,CWR,CEv,PEv,PEw,PEh,RCv,RCh,dxy,SP,Mv0,MvT,aveMv,Mh0,MhT,aveMh,Mw0,MwT,SE,ME,MC,INv_W,OTv_W,INv_E,OTv_E,INv_N,OTv_N,INv_S,OTv_S,INv,OTv,INh_W,OTh_W,INh_E,OTh_E,INh_N,OTh_N,INh_S,OTh_S,INh,OTh,datasource,peroid_unit
0,2000-01-01T00:00:00,3278062851412022.0,3249657464047550.5,3249328636173202.0,163136958338965.88,3327409887813043.0,78081251639840.66,2.3529999999999998,2.618,2.493,52.138,19.006,7.912,487253809198.0115,85055706699125.22,2341061115031.953,1273930427981.9648,4416878377390.278,151674886013.1218,25135054471.56573,76615396261.4265,2492736001045.0747,1299065482453.5305,55456648816062.39,0.0,76453358283038.38,1235955048540375.5,235677153146590.72,199490601674587.06,1355494598005241.8,895725204486653.0,625599176908919.1,860360071540491.9,954830419401429.9,3191530926242107.5,3171601347462181.5,44714928413149.58,1392959621158.9517,2517242627139.837,46867125122692.47,16531507446874.95,15579297637861.982,22768246682750.004,14216734203655.674,86531925169914.38,78056116585369.08,NCEP,Y
1,2001-01-01T00:00:00,3112606340211435.0,3118566630818980.0,3140127456694977.0,189250122944009.9,3247569539437222.0,107442082742245.1,3.286,2.605,2.4570000000000003,43.227,18.441,8.131,487253809198.0115,81808040201764.81,1273930427981.9648,2143652331829.2363,4133134542924.113,25135054471.56573,197298225037.09424,75937300775.61192,1299065482453.5305,2340950556866.3306,88810219430408.0,23475863845414.734,103186090669275.97,1156894965421979.0,208605580947654.78,143466675031533.4,1334741517087849.0,843388414073687.2,605628987379491.2,882817388463972.8,885821628278876.6,3026567442991172.5,3034797713693872.0,45013301233393.99,1368177643542.5137,1455800740825.3699,50041546066336.57,15532047490087.316,16285889010223.508,24037747755955.7,16073304405005.33,86038897220262.38,83768917125107.92,NCEP,Y
2,2002-01-01T00:00:00,3506641627942143.0,3498170863295868.5,3528393670503984.0,246888615154981.12,3663136309350850.0,134742638846866.23,3.8379999999999996,3.1780000000000004,2.971,45.424,14.612,7.657,487253809198.0115,112145976308114.89,2143652331829.2363,1565684914345.653,4489557466925.444,197298225037.09424,110968399477.75009,98026473372.9477,2340950556866.3306,1676653313823.403,103010918634971.83,27883624523255.08,135405164001728.98,1251040139613088.8,319184728504918.25,229220545179716.06,1441021441612190.2,999877128814030.5,608617905368264.9,915217661407092.8,1022598746102535.9,3395355475013928.0,3391422821587909.5,55970001738573.0,2915492534176.7085,3262399631544.214,61819203531919.41,20900990819097.14,22102896762784.016,31152760739000.703,19910448879078.996,111286152928215.05,106748041707959.12,NCEP,Y
3,2003-01-01T00:00:00,3540258369067219.0,3541523965964514.0,3565273728712466.0,285725520232109.44,3726270302522053.5,160996573809587.22,4.279,3.4979999999999998,3.2390000000000003,43.653,12.751,7.632,487253809198.0115,124728946422522.22,1565684914345.653,1389101653433.795,4357193917077.708,110968399477.75009,89296262284.41893,108667365899.47673,1676653313823.403,1478397915718.2139,125796288269528.77,30723028358036.32,152544909935967.94,1413174091741180.5,168446518405489.06,138770464287475.56,1646699303543781.0,872399734550401.5,654389404310844.8,982844436591497.5,941804490862949.0,3407188727170555.0,3411339717123064.0,70530039430193.2,1342072088844.498,1905842803326.2485,80680247456908.44,23705712671768.098,27769969966077.86,36928046991376.195,20391959329619.15,133069641896663.75,130184248841449.95,NCEP,Y
4,2004-01-01T00:00:00,3630317295745619.0,3592690683698881.0,3592224680041094.0,262482711041123.2,3755162957369814.0,162938277328719.94,3.5020000000000002,2.771,2.582,37.924,16.206,9.426,487253809198.0115,99544433712403.25,1389101653433.795,1498669118583.9075,4407561671171.065,89296262284.41893,124256346686.26138,106816797108.9074,1478397915718.2139,1622925465270.169,62062352551809.67,35046164886418.535,125803179982651.6,1279370722606800.8,249702364334330.8,219097563376664.47,1472470083721717.5,1084029705230804.5,675779083411715.5,911229069735162.4,1066971299472094.9,3493727060949432.0,3464922830939858.5,68504391796383.11,2096417719421.4563,3680470505523.9023,73740484158611.12,31092819671652.383,27809617283580.414,33312552822627.758,24121333597409.332,136590234796187.16,127767852759022.31,NCEP,Y
5,2005-01-01T00:00:00,3506417705955527.5,3515818077002159.5,3497727681554848.0,221293910617690.25,3648888667126584.0,151160985571736.0,2.749,2.005,1.886,31.691999999999997,23.394,12.618,487253809198.0115,70132925045954.25,1498669118583.9075,1435300839483.956,4495093282434.472,124256346686.26138,33300262400.613197,101017209517.55267,1622925465270.169,1468601101884.5693,79378972173599.69,35448931315922.04,96153057262219.19,1315693477128699.8,209625017511289.62,148387709668391.5,1524314586360677.8,1002426665269663.0,655378480529934.8,914893256879988.4,1010821239051243.1,3381401108946742.5,3400139323453145.0,66459533606371.58,1368936736296.5444,1630359173852.4626,69131069087585.016,27043033740375.508,21803165248893.086,29883670488185.277,23375582476239.94,125016597008784.81,115678753549014.6,NCEP,Y
6,2006-01-01T00:00:00,3770485597521701.0,3789091570019799.5,3779606872434202.5,253142209662905.03,3944101570862875.0,164494698428672.44,3.124,2.3449999999999998,2.198,35.019,19.487,10.9,487253809198.0115,88647511234232.6,1435300839483.956,1097979149286.9022,4732800923761.124,33300262400.613197,8613669716.931335,110307672154.90211,1468601101884.5693,1106592819003.8335,106891475069402.84,35813524599216.414,118089883804902.31,1537568203701435.8,190740807123732.3,126935077995857.28,1742069347654321.5,1047898689409254.1,625091012896641.8,923064600819551.8,1102517841805317.6,3635466571926099.0,3660419009480013.0,77158314082345.06,1374035245222.7231,1186578280684.6643,80363156707820.88,27500022594859.58,22379162048983.19,29174110637712.797,24556206537759.797,135019025595602.11,128672560539786.58,NCEP,Y
7,2007-01-01T00:00:00,3594097817010959.5,3570998006843965.0,3572408299394708.5,274818918936414.75,3736929650225914.5,164521350831206.38,3.737,3.087,2.867,40.135,15.325,9.693,487253809198.0115,110297568105208.39,1097979149286.9022,892973503906.2653,4631107587812.723,8613669716.931335,5531283268.803252,122044949001.33217,1106592819003.8335,898504787175.0685,86989670098076.86,31539783556004.05,133493354847079.05,1321347347368011.8,255778674402441.12,216969054926130.75,1398641770729009.8,918966077746082.0,743354092793699.5,995498386551115.9,1040247433118572.6,3452780866591340.5,3438021971043723.0,72804102103068.69,2661210922990.083,3348518886668.245,72409047646467.78,27283056570653.02,29287937902633.477,37881272859228.81,28617839328150.438,141316950419618.78,132976035800241.78,NCEP,Y
8,2008-01-01T00:00:00,3686547049646723.0,3659531675517022.5,3667974303594718.0,290235989343961.0,3837707724330609.0,169733420735890.94,3.939,3.2849999999999997,3.044,41.519,13.542,8.448,487253809198.0115,120502568608070.08,892973503906.2653,1003178786523.1572,4458631957967.69,5531283268.803252,25564588664.56905,115896041702.55005,898504787175.0685,1028743375187.7263,93617434724795.22,32660453007524.703,144486850772461.03,1365344163050678.0,204665515024934.94,160095466528497.94,1485613298005520.2,1066682439634958.4,720920837647666.4,948681373144357.5,1111284623357612.4,3540803442358492.0,3522484274035734.0,75747511741839.16,2015664803512.118,2067643961168.5479,77341116510145.69,32552633727276.055,26759226928072.094,35375817857947.36,30931393239558.73,145743607288231.12,137047401481288.64,NCEP,Y
9,2009-01-01T00:00:00,3639633409328833.0,3632190825253060.0,3602679484342309.0,260746191159559.06,3780833471828518.0,178153987486208.8,3.079,2.2929999999999997,2.138,31.674999999999997,19.08,12.123,487253809198.0115,82592203673350.25,1003178786523.1572,2535968514422.026,4317309784099.187,25564588664.56905,239888396949.56635,114297815860.83871,1028743375187.7263,2775856911371.5923,76896728506231.9,34944234330698.223,110922559960917.25,1460575040994194.0,215092155353203.0,134757732427277.4,1619762250728823.2,939197647875083.4,621901638610576.9,955304921422301.0,1032464911174366.9,3489835342718856.0,3489220955866970.0,88124120399693.14,2008048795116.0684,1243873022908.38,88393079877807.02,26516198054886.78,23899426440984.812,33913875132488.96,28669314272182.117,149798066609977.25,142969869386090.0,NCEP,Y
