,time,INw,OTw,GMv,GMh,AWR,CWR,CEv,PEv,PEw,PEh,RCv,RCh,dxy,SP,Mv0,MvT,aveMv,Mh0,MhT,aveMh,Mw0,MwT,SE,ME,MC,INv_W,OTv_W,INv_E,OTv_E,INv_N,OTv_N,INv_S,OTv_S,INv,OTv,INh_W,OTh_W,INh_E,OTh_E,INh_N,OTh_N,INh_S,OTh_S,INh,OTh,datasource,peroid_unit
0,2000-01-01T00:00:00,155470966039966.22,154374986233740.78,166043370205466.94,33010036611106.188,191244831778315.9,25201461572848.977,12.379,4.703,3.923,23.655,12.519,25.088,1905263155030.123,7808575038257.209,2468681903530.6396,3263731132441.61,3153344611211.4395,84007767665.31454,444573937273.41846,263307196399.3479,2552689671195.954,3708305069715.0283,7868210630550.832,12607654184667.342,20553886290192.766,64575745538516.6,718408439651.6031,3692132526537.291,104199802790619.27,17513484822953.031,15488441210704.19,57317460598711.195,21819100341857.492,143098823486718.12,142225752782832.56,6654202274949.688,25066824770.19485,82430877327.12328,9652142876573.684,1909575314073.7822,1755424900918.719,3725934086897.5127,716598848645.6149,12372142553248.105,12149233450908.213,CRA40,M
1,2000-02-01T00:00:00,157164410581971.3,154247684895529.75,168007471782942.7,36542765410410.586,193592897562451.16,25585425779508.46,14.469999999999999,6.522,5.357,29.985,9.032,21.851,1905263155030.123,10957339630902.123,3263731132441.61,3873845519996.9453,3412723030433.8936,444573937273.41846,420494741891.6996,344011450767.96484,3708305069715.0283,4294340261888.645,8626649136634.168,10739618618878.7,24311253786154.08,51677438103612.46,744796697033.9717,3718101218991.9434,107552498678836.48,8648197522232.718,17837379728543.918,81333736050151.1,13687697372377.299,145377472894988.22,139822372476791.67,5600985016179.279,44512351588.8274,132193524811.36305,11016701326780.705,596934928000.9375,2966967950230.6562,5456824217991.51,397130790137.8726,11786937686983.09,14425312418738.062,CRA40,M
2,2000-03-01T00:00:00,209793943234749.34,195778027812954.06,213021080970105.12,44102377368787.0,243213811567757.66,30192730597652.523,13.461,6.529999999999999,5.41,31.539,10.101,20.921,1905263155030.123,13909646771134.477,3873845519996.9453,6549280864608.421,4532455054217.991,420494741891.6996,341230499567.9153,391128609859.2538,4294340261888.645,6890511364176.336,2489902451626.916,11871480372979.623,28673792017647.625,62639079642016.89,1691351194122.1157,7061602445175.631,133386112419189.98,15818173930643.78,22074298467760.46,109266996607665.34,20646246006776.547,194785852625501.66,177798008087849.1,6761469173930.705,70279603200.59036,235264426644.0066,13853114052526.2,878957531710.7822,3442236541874.0713,7132399476962.184,614389527504.1217,15008090609247.676,17980019725104.98,CRA40,M
3,2000-04-01T00:00:00,301481839328771.25,250632745142827.5,291869258264388.06,75334515779272.78,325911114969122.8,34041856704734.734,19.151,14.148,11.245,54.812000000000005,5.01,9.004,1905263155030.123,41292659074538.05,6549280864608.421,7661100226865.795,6895799702776.075,341230499567.9153,614327051918.5193,516405632768.0796,6890511364176.336,8275427278784.314,-8171519196797.734,11107489204880.691,55895453342630.305,85340021765461.27,2976893937473.8896,10234677943461.234,173804006224252.0,37211655108639.62,20179728310727.184,149597652574134.6,31352076222438.914,282384007391696.7,228312704694891.97,8224630332278.145,148371760581.0931,317762638083.4027,18157470812363.72,2177281852550.6025,2771580436377.37,8378157114162.416,1242617438613.3374,19097831937074.566,22320040447935.52,CRA40,M
4,2000-05-01T00:00:00,378207488890073.0,315952910246868.25,401400519481540.8,117438907361251.66,437123478959135.75,35722959477594.875,23.827,20.358,15.75,69.582,4.087,5.44,1905263155030.123,81715947883656.78,7661100226865.795,14932776143507.004,10773851956246.43,614327051918.5193,932720717610.6547,597464156021.5784,8275427278784.314,15865496861117.658,27051438822785.383,9662113808805.01,95642958042344.75,95535747080321.3,8796034309802.794,24624146774053.426,191861471223040.0,67905339522127.77,32683414795897.816,168960633246582.16,57483864966948.484,357025866623084.6,290824785295689.06,7877515759803.64,395202619393.77454,597671866998.1615,18761620820806.145,3737831733848.914,3736946428719.545,8968602906337.676,2234355082259.7334,21181622266988.39,25128124951179.195,CRA40,M
5,2000-06-01T00:00:00,544384582781617.9,438014750857485.06,576586960065292.0,174524217953519.2,616389351369892.1,39802391304600.06,25.683,23.365,17.936,77.194,3.976,4.54,1905263155030.123,134721826648919.12,14932776143507.004,20192291286136.477,17855501349807.11,932720717610.6547,1194415566007.6636,849410906181.7566,15865496861117.658,21386706852144.14,33873204715812.797,8902373608902.604,148085520051360.3,134719701077181.38,11219954861976.57,30979285790646.008,253668547943916.3,83579822199772.4,86297453710318.97,269599796529469.88,57123192211583.44,518878605597069.6,408309148727795.25,9389344192811.701,442936027594.2258,854274730222.6239,18726492282345.047,2963700730405.4688,6909135367135.9375,12298657531108.428,3627038452614.5767,25505977184548.22,29705602129689.79,CRA40,M
6,2000-07-01T00:00:00,573438713716092.5,430469072236154.5,608942984025943.6,209393823506583.16,643214071655287.0,34271087629343.406,30.28,28.758,21.4,83.633,4.036,4.2,1905263155030.123,175122735877239.75,20192291286136.477,19881364638317.695,22802040586578.92,1194415566007.6636,1245747124054.7954,988498336087.9258,21386706852144.14,21127111762372.492,31893499307530.156,7230221480233.75,184387666176526.25,112043163366711.33,52198790014736.625,104536398000559.17,141119987679491.56,88945255627864.72,148160347026882.2,244102154956908.03,63194828489989.33,549626971952043.25,404673953211099.7,7403503644896.473,2925011394734.5176,4091466664139.3765,10035476113130.31,2640607735466.5044,8256296929560.66,9676163719546.893,4578334587629.341,23811741764049.246,25795119025054.83,CRA40,M
7,2000-08-01T00:00:00,522463896620545.75,381382070714323.8,544879617339279.25,193697119310583.1,579583378428271.8,34703761088992.438,30.995,29.18,21.526999999999997,82.083,3.882,4.569,1905263155030.123,158993358221590.66,19881364638317.695,20955446003641.4,19912077619355.953,1245747124054.7954,1243397118490.2788,976439625190.7468,21127111762372.492,22198843122131.676,18983263675127.97,7119709246932.171,168882755344884.0,135522079070293.45,17236211167442.379,41375645358828.695,206833704253602.0,74149701397115.19,80239636514247.84,247847853952664.12,50731864055461.65,498895279778901.44,355041415990753.9,9208798785172.541,765568501305.971,1214158835759.6611,16025389828509.092,2410885395532.954,6092683465260.457,10734773825179.14,3457012928494.443,23568616841644.297,26340654723569.96,CRA40,M
8,2000-09-01T00:00:00,415772733215578.8,355504446200185.7,463762128817129.56,149055852118598.66,498283009032008.1,34520880214878.53,27.411,24.697,18.69,76.84,3.966,5.076,1905263155030.123,114534971903720.12,20955446003641.4,7713217841764.621,15140505571120.57,1243397118490.2788,329718268899.4936,807440107260.4365,22198843122131.676,8042936110664.114,40110777876859.484,7612450848405.832,127123175872752.47,111829778652830.8,10134015951048.223,26398447164448.43,207200543535616.8,50732255269883.625,73865756179988.58,206122973001060.06,37725419435958.87,395083454088222.9,328925735102612.5,8294856604586.64,462339139812.1726,880124201100.9893,17417538111700.195,2079233682706.3792,6611491235870.062,9435064638961.906,2087342610190.7605,20689279127355.914,26578711097573.19,CRA40,M
9,2000-10-01T00:00:00,251110448988794.03,276246359153960.94,297536194495100.56,45510346204268.94,325301215388522.2,27765020893421.637,11.299,5.9639999999999995,5.173,38.992,12.969,13.153,1905263155030.123,17745325310847.3,7713217841764.621,4637398264364.111,7423576574377.007,329718268899.4936,154524708607.54648,313720652112.3511,8042936110664.114,4791922972971.658,39630222338321.77,10642874801335.652,33620058460253.938,87638803026934.44,3383841823342.9785,12758374665538.727,180203718482846.4,27743811970112.348,40299512199239.66,111408889851093.02,35391665265053.484,239549879513678.53,259278737770482.53,5275351827477.981,74234219796.65091,227265803157.39774,13052093968592.41,1453114623207.173,3207061332032.843,4604837221272.948,634231863056.5203,11560569475115.502,16967621383478.422,CRA40,M
