,time,INw,OTw,GMv,GMh,AWR,CWR,CEv,PEv,PEw,PEh,RCv,RCh,dxy,SP,Mv0,MvT,aveMv,Mh0,MhT,aveMh,Mw0,MwT,SE,ME,MC,INv_W,OTv_W,INv_E,OTv_E,INv_N,OTv_N,INv_S,OTv_S,INv,OTv,INh_W,OTh_W,INh_E,OTh_E,INh_N,OTh_N,INh_S,OTh_S,INh,OTh,datasource,peroid_unit
0,2000-01-01T00:00:00,115567034499222.44,113610495655328.11,121281517948449.28,21848923625442.043,137246446364351.97,15964928415902.7,11.372,4.852,4.111,26.93,10.926,19.979,1233003697983.694,5883995209539.344,1557274043175.2527,2332690795994.091,2073916975679.263,45125989433.828514,309713717855.6704,158008249010.87332,1602400032609.0813,2642404513849.761,4967460846885.699,7201370824694.875,13792175370479.236,45679812010141.625,576481198299.4998,2895017941912.9355,65686836282073.96,7405439807395.916,21434088625745.938,51575142474242.97,17459245675856.56,107555412233693.45,105156651781975.95,4227987107270.1274,18962574918.063328,37872584280.14155,5788378172958.235,570504545173.2098,2234058489840.454,3175258028805.4995,412444635635.40063,8011622265528.979,8453843873352.153,CRA40,M
1,2000-02-01T00:00:00,127913590602829.78,126287990741852.44,134670950359808.84,25239824967069.656,152364519555532.16,17693569195723.316,12.107999999999999,5.603000000000001,4.719,29.898000000000003,8.508,19.04,1233003697983.694,7546255771346.34,2332690795994.091,2894692893810.8843,2213886647455.6265,309713717855.6704,320940075560.053,206437381372.52673,2642404513849.761,3215632969370.9375,6493884365890.172,6555220375584.2,16305675468724.58,39999028780316.29,477983573390.6771,2306172420925.07,75872951932004.48,3453366786305.875,28524119939800.32,73530586834793.14,10595526552077.887,119289154822340.38,115470581997273.38,3678279008908.3125,30956663991.392456,54824384419.72395,6872325785636.654,270401217549.79666,3763429913824.534,4620931169611.572,150696381126.4796,8624435780489.406,10817408744579.06,CRA40,M
2,2000-03-01T00:00:00,168673453107339.4,156578512415221.25,166649581207922.78,30313492696708.336,187265397905248.12,20615816697325.344,11.466999999999999,5.819,4.9239999999999995,31.991000000000003,9.63,18.838,1233003697983.694,9697675999382.99,2894692893810.8843,4041201810981.704,3012675659341.788,320940075560.053,163827287543.80136,245549011978.99536,3215632969370.9375,4205029098525.5054,-1407868563580.6016,7372961070755.921,19108895320745.47,47944871091759.16,1263541818339.2314,3911875207033.761,94914780849816.66,6626946455633.322,31767514554002.727,99306103052510.38,15553646854037.012,157789795806936.6,143499484076195.62,4372747873553.447,49870791243.133995,69669677026.3891,8708076656489.598,474423115640.10205,4061161990971.589,5966816634182.88,259918900321.30164,10883657300402.816,13079028339025.621,CRA40,M
3,2000-04-01T00:00:00,245457095875565.03,194315337671259.62,224930582149483.78,57026719579958.46,248493973130109.53,23563390980625.75,18.998,14.877,11.867999999999999,58.68,4.315,7.481,1233003697983.694,33463328599332.71,4041201810981.704,5043488399307.49,4813335708414.716,163827287543.80136,355240789411.88654,347706940333.68604,4205029098525.5054,5398729188719.377,-16484729514778.82,6048215662647.4795,42731690607483.02,62031987007454.125,1993251790395.7148,6869851343723.287,124527029814229.31,21754751922598.13,29354435594590.68,140669303916857.88,21280685943477.543,231325894190633.4,177155403142693.25,5270843338491.0,103460321091.50433,216319815679.38467,12459455905740.836,1396584231647.3499,3982639326979.301,7247454299113.905,614378974754.741,14131201684931.639,17159934528566.38,CRA40,M
4,2000-05-01T00:00:00,284201162794868.4,226629909030000.62,284582122542562.5,81199591191766.95,306956626026004.06,22374503483441.594,23.261000000000003,20.671,16.082,72.44500000000001,3.843,5.021,1233003697983.694,58825087708325.36,5043488399307.49,8727709917495.037,7293253454823.312,355240789411.88654,443988733700.76556,396967069778.46857,5398729188719.377,9171698651195.803,5026803405934.016,4959411305053.207,66195607039754.45,61857762905690.125,6060322703456.859,15652879586107.629,123098107616543.5,36784581405487.18,43739243731832.66,155257195534982.84,36761131533479.984,269552419432267.78,209658805585313.0,4523590583220.989,282765066385.9043,431791599866.26245,11516988231263.947,1960247377801.386,4083080378749.129,7733113801711.975,1088269768288.628,14648743362600.613,16971103444687.61,CRA40,M
5,2000-06-01T00:00:00,414644988871858.06,328321087358495.1,415154964811055.8,112916425339551.44,441562758850577.75,26407794039521.953,22.462,20.838,16.381999999999998,76.613,4.054,4.509,1233003697983.694,86508631300029.48,8727709917495.037,13570519649530.422,11689095745145.695,443988733700.76556,892244854384.7943,541768706682.58887,9171698651195.803,14462764503915.217,5475795639386.016,5525129657239.993,93253777330927.38,87094637065770.78,5833806293918.758,13229912794997.746,181087633219690.3,44284126079712.125,96157480817428.56,250817653656454.12,25251747499560.406,395426329596934.75,308330667830598.0,5563032822820.15,238850171549.1349,305795072880.89124,12088617126306.422,2187136083708.836,5969892149181.233,11162695295513.41,1693060080860.3662,19218659274923.29,19990419527897.156,CRA40,M
6,2000-07-01T00:00:00,455769782212955.5,304788397488755.6,441251543190357.9,162754771450186.9,466025941428192.25,24774398237834.39,32.033,31.269999999999996,22.844,84.77799999999999,3.369,3.928,1233003697983.694,137980373212352.52,13570519649530.422,14971375316727.188,14994377045258.672,892244854384.7943,1002153519976.5991,728427256206.5117,14462764503915.217,15973528836703.787,-11490247179058.703,3917382620228.699,141346632482504.06,76241156485837.31,37225978400382.05,83282031631366.38,91756880216618.4,54410649320127.195,118466711619044.06,221320050662326.6,37483965155082.11,435253888099657.44,284933535391126.6,4972151552038.069,2744922246874.916,4271345381828.0044,6916025600258.734,2566650466134.529,6757622996820.72,8705746713297.452,3436291253674.655,20515894113298.055,19854862097629.023,CRA40,M
7,2000-08-01T00:00:00,420819897351625.9,283591822380907.75,403263554174846.9,146481906552291.0,428047433419184.5,24783879244337.656,31.236000000000004,30.178,22.137,83.081,3.522,4.334,1233003697983.694,121698027307953.34,14971375316727.188,14173206143593.639,13824507808737.482,1002153519976.5991,927162421715.9424,708856234944.0605,15973528836703.787,15100368565309.582,-16403207934158.922,3393287368021.5703,125961955104945.61,93581788609873.0,11945789900974.332,30975671151960.555,137448586369382.34,52104518261521.96,85024646096702.75,224640121400901.56,28709370559248.207,401302099424257.06,263128392926307.66,6312893202692.904,633090498522.8335,1068322343587.5381,11570111241238.322,2796214384986.7207,5906779628731.625,9340367996101.637,2353448086107.327,19517797927368.797,20463429454600.11,CRA40,M
8,2000-09-01T00:00:00,313617310588739.7,275108744180851.4,346863224909993.7,100484864857528.47,369923724585461.5,23060499675467.812,24.454,22.320999999999998,17.307,77.051,3.822,4.615,1233003697983.694,77424365182060.66,14173206143593.639,5381125179417.211,9863323291958.46,927162421715.9424,234489912347.08472,496240921886.0119,15100368565309.582,5615615091764.296,29431045300627.086,4376452761294.4194,84822912551551.38,73817090464672.77,6196766978197.471,13897938009700.738,141944687430945.1,29434734169979.887,86992253269436.52,181732758060125.2,21525479500446.03,298882520704478.56,256659187179025.12,4912122169831.03,279255603658.47546,416726436873.1098,11027654106704.518,1622968646829.1978,6086459559542.014,7782972630727.812,1056187731921.2643,14734789884261.148,18449557001826.27,CRA40,M
9,2000-10-01T00:00:00,170754968297246.6,193227334638379.1,205336377386949.75,24864464089043.84,220685245126375.62,15348867739425.855,9.199,4.634,4.134,38.269999999999996,15.493,13.25,1233003697983.694,9515596349617.984,5381125179417.211,3363492595781.183,4755570787185.536,234489912347.08472,92166364650.52872,169469620508.71402,5615615091764.296,3455658960431.712,29828006559417.906,5113807988787.144,18888443538777.64,50118499483844.91,2874577405151.167,7875020497098.515,104891993921126.73,16397575620023.662,48787828211983.77,90622342058360.39,26530041714129.234,165013437659327.47,183084441252390.9,1936399936778.9673,60632830910.64119,69397259430.32478,6799965440245.728,638452438402.4849,3088767725615.1084,3097281003307.336,193527389216.70593,5741530637919.113,10142893385988.184,CRA40,M
