,time,INw,OTw,GMv,GMh,AWR,CWR,CEv,PEv,PEw,PEh,RCv,RCh,dxy,SP,Mv0,MvT,aveMv,Mh0,MhT,aveMh,Mw0,MwT,SE,ME,MC,INv_W,OTv_W,INv_E,OTv_E,INv_N,OTv_N,INv_S,OTv_S,INv,OTv,INh_W,OTh_W,INh_E,OTh_E,INh_N,OTh_N,INh_S,OTh_S,INh,OTh,datasource,peroid_unit
0,2000-01-01T00:00:00,2981141384237098.0,2483211236919310.0,2962684205840389.0,799818156768282.2,3206348258949723.0,243664053109334.5,21.873,18.772,14.780999999999999,69.535,4.395,5.618,1233003697983.694,556154103658947.75,1557274043175.2527,4068850911615.644,6678479760594.896,45125989433.828514,351276206656.04877,355673745804.75244,1602400032609.0813,4420127118271.692,61041683426820.375,70683773205311.53,648033121706832.0,751460651246031.4,76262497062018.81,190154105226524.12,1308649356035787.2,294833946377253.3,640238685412379.1,1592952772315272.2,285431694711755.7,2829401475165081.5,2310582233221941.0,55093178283089.43,4486527708174.078,7011157416468.529,106051926475761.58,16665800050001.895,50230728416774.08,72969773322456.52,11859821096659.305,151739909072016.38,172629003697369.06,CRA40,Y
1,2001-01-01T00:00:00,2838810793091860.5,2466461440113683.5,2893862395288487.0,728271186106749.0,3129982368773059.5,236119973484572.44,20.355,17.007,13.587,67.578,4.836,5.938,1233003697983.694,492151212622176.56,4068850911615.644,1205019159618.7964,6520653319839.713,351276206656.04877,52211403368.82863,333584572893.27826,4420127118271.692,1257230562987.625,116638963088713.62,73208559751746.02,589055138344644.5,726724517392114.2,78482947182361.7,164508954508375.94,1295014958238063.2,270643378505599.8,622506664448955.5,1538069171130321.8,307597667914843.75,2699946021536412.0,2303602237784224.0,51655140142942.45,4183964536085.3833,4780143464662.472,100574922716370.8,15239648728334.96,45292879737643.12,67189839219508.61,12807435339360.375,138864771555448.5,162859202329459.7,CRA40,Y
2,2002-01-01T00:00:00,2772356856844452.0,2330642125991589.5,2773175278107399.5,736774300504472.5,3004569427875304.0,231394149767904.62,21.454,18.224,14.399000000000001,68.594,4.687,5.917,1233003697983.694,505380150736567.9,1205019159618.7964,2789135920807.9883,6489179919377.643,52211403368.82863,377044629058.7226,341333679513.8892,1257230562987.625,3166180549866.711,65574369870582.19,75791762090846.48,594969359243003.5,669285680074293.0,78991080458545.58,196455323868303.7,1159829375675977.2,275828147770600.78,616027708002067.6,1489034975273154.2,320568618806997.7,2630604126986352.0,2175416782943588.0,50360966003676.67,4302883519960.727,5389727774773.811,90944554188139.78,16090311556979.105,45885504592054.45,69911724522670.61,14092400747846.314,141752729858100.2,155225343048001.28,CRA40,Y
3,2003-01-01T00:00:00,2967943992708652.5,2565398627080421.0,3016395990562776.5,771853187548305.4,3264294287754754.0,247898297191977.62,20.423,17.37,13.831,67.88300000000001,4.614,5.78,1233003697983.694,523954890356327.75,2789135920807.9883,2109448348749.537,6623047729517.074,377044629058.7226,117021763473.41267,345707523556.896,3166180549866.711,2226470112222.9497,120469814290450.38,80628245180903.58,616040945381208.9,786707216505441.0,53891320487861.49,125493775839440.45,1421307753937784.0,254605986275671.62,655602539035687.4,1645701816550061.5,267443983371484.88,2812508795170614.5,2398245596832818.0,58280107709822.83,2950857113823.275,3789520439606.49,106622205688408.77,16082474341643.44,47229722838268.86,77283095046965.03,10350244607101.842,155435197538037.78,167153030247602.75,CRA40,Y
4,2004-01-01T00:00:00,2853816700388529.5,2457014678652762.5,2949916358300418.5,802341528480489.5,3191672992408296.0,241756634107877.25,22.14,19.003,14.940000000000001,69.869,4.256,5.343,1233003697983.694,560584894372612.25,2109448348749.537,4598961955740.852,6518045724700.305,117021763473.41267,284571777500.9051,340981121998.4857,2226470112222.9497,4883533733241.757,166439936257861.8,76649076165956.45,653125703856337.0,750906315790783.5,62838929559994.04,147435741410901.5,1320703871943095.0,302737409053129.56,588723787470532.1,1503638431273035.8,319925103514719.5,2704717897527850.5,2292191692488340.5,56418672295893.19,3397704010991.1904,4107989866115.5586,105443723316873.36,19235171563125.13,43264942713442.54,69336969135545.14,12716616123114.707,149098802860679.03,164822986164421.78,CRA40,Y
5,2005-01-01T00:00:00,2902261508603794.5,2546280548410359.5,3007306341139570.5,780644929099452.2,3256726527071657.5,249420185932086.8,20.878,17.663999999999998,14.024000000000001,68.049,4.491,5.59,1233003697983.694,531224743167365.44,4598961955740.852,1561504801235.3901,6535748122063.617,284571777500.9051,39670449897.39853,338964080473.3415,4883533733241.757,1601175251132.7886,171961424491819.44,80965414443287.0,627879388966879.9,761231264962251.0,68751975702531.805,145952523368098.56,1375108201204698.8,247173133576589.44,672925309233198.4,1595423618341784.0,261079961231026.3,2749780540248723.0,2377865447371455.0,58866879749044.85,3755908044238.867,4394065328946.2275,103987580882527.47,14398574029466.707,50665529958321.164,74821449247613.66,10006082153816.867,152480968355071.44,168415101038904.38,CRA40,Y
6,2006-01-01T00:00:00,2851608371768992.5,2505220373030611.0,2921922125505722.5,722335462000091.9,3167967108255189.5,246044982749466.88,19.659,16.301,13.07,65.938,5.114,6.041,1233003697983.694,476290479250625.0,1561504801235.3901,2141123622316.4949,6673351269024.195,39670449897.39853,70874661045.28705,328431458279.4988,1601175251132.7886,2211998283361.7817,130513303544470.44,86124383742178.67,574410353199040.0,727463701616431.5,114982831624633.7,212370829674191.03,1230588909443189.5,290718424600352.9,670461777859355.9,1473169977526862.8,329337129757186.75,2703722933417838.0,2345370648684366.0,57819399101681.414,6695286868971.21,6300855416719.316,93802019797529.28,17139258436631.902,45967581965557.414,66625925396121.82,13384835714186.97,147885438351154.47,159849724346244.88,CRA40,Y
7,2007-01-01T00:00:00,2866039350893049.5,2480483853280908.5,2957640587656128.0,768337787620245.6,3186261920874286.0,228621333218158.06,21.276999999999997,18.248,14.485000000000001,70.245,4.464,5.211,1233003697983.694,539716454402087.56,2141123622316.4949,2348585072727.3228,6601095553183.439,70874661045.28705,110409505752.53455,321062362447.3133,2211998283361.7817,2458994578479.8574,154407953085062.7,74013763913744.84,629305309101154.8,686560998781028.6,88081239294129.45,174346616105310.28,1236433043952014.0,312735728566553.25,653577903393609.4,1553434403582111.5,347894506842493.2,2727077747035004.0,2325986693482246.0,47532121386547.625,4565196987915.364,4813197454882.738,89028638887635.78,16925767306372.145,45934355293444.45,69690517710243.07,14968968629666.828,138961603858045.58,154497159798662.44,CRA40,Y
8,2008-01-01T00:00:00,2956114773901707.0,2463670917276618.0,2996447316036044.0,851971297330828.1,3241051112717482.0,244603796681438.0,23.327,20.27,15.781999999999998,71.28999999999999,4.003,5.116,1233003697983.694,607367500649390.1,2348585072727.3228,2102929276905.403,6643193481890.85,110409505752.53455,231401330382.89008,353777439579.0176,2458994578479.8574,2334330607288.293,114798980053107.06,76057612426451.73,698988252407126.8,726573738985359.5,75607757093965.88,157710591220147.6,1306624418325799.8,316483574799539.1,619019148814558.6,1602474233478712.0,294104810117688.06,2803242138483758.0,2295356134352012.0,55617232154084.64,4181536513701.0205,4413155473263.787,101334355288876.42,17888729223061.05,50139691991079.234,74953518567539.34,12659199130949.262,152872635417948.84,168314782924605.94,CRA40,Y
9,2009-01-01T00:00:00,3069762586009069.5,2755467435568451.0,3156009992513899.0,720319017894997.8,3420958395592351.0,264948403078451.88,17.980999999999998,14.429,11.747,63.217999999999996,5.32,6.05,1233003697983.694,455370614816545.9,2102929276905.403,1605271621261.3374,6637281985671.303,231401330382.89008,141483497144.52603,314500445497.774,2334330607288.293,1746755118405.8635,140487888887043.75,96259209754124.58,567484995151370.9,803480159540068.4,75315610923591.84,158919515036957.12,1447562924669161.8,253970693031472.5,793164906150639.8,1700789596987327.5,270876283997874.0,2917159964595825.5,2586919725741267.0,60039833131057.84,3651893278723.098,4133202136497.3975,101008699402478.23,15026972669169.748,54510720165941.55,73402613476518.98,9376396980041.373,152602621413243.97,168547709827184.25,CRA40,Y
10,2010-01-01T00:00:00,3140664455335432.0,2668094537175589.5,3155479830313254.5,811726153513415.8,3410698717626338.5,255218887313084.3,20.809,17.636,14.027999999999999,68.55799999999999,4.527,5.338,1233003697983.694,556507266200331.44,1605271621261.3374,3125594796376.738,6902859765028.963,141483497144.52603,328969171225.9844,339094386527.87836,1746755118405.8635,3454563967602.722,85645156889683.62,82510930325777.97,656638686157370.8,811458086557162.8,103444287012736.9,208988079187562.72,1403615537146976.8,291524609771019.6,683942430943027.5,1673747695960786.5,304713294256765.94,2985718471476531.5,2495715549359507.0,58994578603383.81,6668419175410.656,7291232469406.168,104906203185115.16,17304671373007.512,46136701518665.305,71355501413103.0,14667663936891.379,154945983858900.5,172378987816082.5,CRA40,Y
